date,transaction_volume,customer_volume,aws_cost
2024-09-24,27069707.850138407,7083422,6658.2123265591
2024-09-25,64377285.22403612,7101773,6827.6479750966
2024-09-26,64625581.4379993,7124366,6785.9794547228
2024-09-27,67776410.47585967,7142095,6767.647425752
2024-09-28,71900141.3270127,7158049,6936.1074319334
2024-09-29,66065814.51893018,7173388,6733.9907051726
2024-09-30,60223523.94581452,7188191,6547.4589937958
2024-10-01,68637826.57867315,7201442,6992.1107749783
2024-10-02,69997397.65196249,7222666,7222.0938341394
2024-10-03,72821827.35672109,7249458,7242.3545931903
2024-10-04,78295093.4104126,7268531,7108.5848136494
2024-10-05,95448278.76345953,7289328,7292.167337556
2024-10-06,75654627.96804446,7309458,6972.891256767
2024-10-07,76449091.82354984,7325668,6820.4211253789
2024-10-08,88773822.25036688,7343773,7036.2266652181
2024-10-09,89970789.85758944,7361360,7339.0290749011
2024-10-10,86514986.92894684,7382449,7688.8602107934
2024-10-11,89277828.24617723,7412316,7588.028740006
2024-10-12,87808376.0194512,7439982,7544.5457332036
2024-10-13,77762194.76207016,7466743,7222.2197659612
2024-10-14,72717091.9902744,7490766,7321.3977462107
2024-10-15,82783726.34942688,7516779,7546.3300141377
2024-10-16,87502312.74748176,7540892,7773.515375363
2024-10-17,92362233.19117793,7571839,7497.1575180271
2024-10-18,83592310.19823454,7593945,7502.7595720405
2024-10-19,93867949.09153691,7616852,7845.2573238616
2024-10-20,84573640.85505968,7641370,7691.3496093137
2024-10-21,78759230.96347068,7668168,7458.2785317842
2024-10-22,87800108.26218519,7689562,7706.7513253445
2024-10-23,83304607.22763944,7710295,7943.0305685981
2024-10-24,83818758.73451605,7734857,7706.7090091458
2024-10-25,81492715.08207797,7758945,7595.8813144884
2024-10-26,87476805.0607704,7780918,7807.4362623925
2024-10-27,76997731.32337616,7804060,7495.9698802296
2024-10-28,70085775.34274928,7823193,7148.4108431599
2024-10-29,77762987.03702231,7844073,7365.5167592421
2024-10-30,80125315.29081796,7864410,7604.695934589
2024-10-31,89716508.17604217,7887581,7592.5891522516
2024-11-01,92215978.29913348,7909950,7543.2318094184
2024-11-02,98636380.19636416,7936993,7970.3940150125
2024-11-03,88753712.29524775,7962971,7694.366927105
2024-11-04,78408066.03203194,7985261,7381.7788317728
2024-11-05,90692878.62274376,8012900,7875.2631141732
2024-11-06,92969546.09309949,8039459,8087.8822506752
2024-11-07,102961641.62490708,8064448,8361.0191994301
2024-11-08,103172435.79028255,8089483,8328.7520735153
2024-11-09,106407857.17264806,8117426,8516.3689298376
2024-11-10,92528860.08430909,8146354,8262.7532979938
2024-11-11,81935886.96087646,8174906,7496.6400584962
2024-11-12,89933609.24630786,8196503,7611.8765754688
2024-11-13,83931524.8907644,8221416,7615.6695642167
2024-11-14,86116850.68454249,8244897,7850.8177506678
2024-11-15,94014357.88678959,8269093,8007.9245266529
2024-11-16,95251324.37665945,8297016,8087.0181252991
2024-11-17,85919330.10072942,8323320,8006.9708601393
2024-11-18,80193385.92566863,8346332,7906.9205376938
2024-11-19,84669428.10698159,8371343,8002.561618769
2024-11-20,88910687.76658562,8390847,8085.7623026891
2024-11-21,88057961.6856589,8409545,7809.5293209821
2024-11-22,87212630.17847037,8425682,7863.0038805622
2024-11-23,100083200.1111497,8440515,8119.4502242372
2024-11-24,87512857.4088225,8454789,7853.4807616593
2024-11-25,78168162.81483205,8469240,7352.4008714064
2024-11-26,85995060.39597082,8484300,8074.972799915
2024-11-27,87531358.83270174,8504193,7903.6129825421
2024-11-28,90340205.12678012,8521476,7913.4535612811
2024-11-29,91493908.71830496,8535748,7895.5947038385
2024-11-30,116248487.05800626,8553226,8357.0217690275
2024-12-01,99104457.28549361,8577010,8398.7315552642
2024-12-02,90190616.19158918,8604251,7955.1242885333
2024-12-03,99315299.47907175,8628522,8223.8733833689
2024-12-04,96954397.72143105,8651749,8229.8169837275
2024-12-05,94145028.24591872,8673873,7890.5608911546
2024-12-06,98194096.17228204,8692657,8106.9572477675
2024-12-07,112639265.85620007,8710944,8240.2322844786
2024-12-08,99631532.28204237,8729090,8482.8485533633
2024-12-09,91121603.44916438,8753054,7621.1479144157
2024-12-10,94471804.70996873,8767897,8255.2505303579
2024-12-11,89510484.03821759,8783949,8276.2080828479
2024-12-12,93851710.39944425,8801919,8322.3070933424
2024-12-13,96113441.72282042,8815519,8007.9402109116
2024-12-14,101915819.43733728,8827603,8250.3725277987
2024-12-15,93078120.79809913,8838482,8047.6093662294
2024-12-16,82258167.86384161,8848373,7749.9827506146
2024-12-17,87123609.25321291,8858486,8008.3601525073
2024-12-18,94470634.30930105,8869854,8444.8924607836
2024-12-19,98011816.85769509,8881907,9951.4776396563
2024-12-20,104031446.30228332,8895543,11644.2468737632
2024-12-21,121197839.53403609,8909582,10159.9394050945
2024-12-22,115517539.26674642,8922972,9970.3699576002
2024-12-23,103852715.02693349,8938858,9616.2831348592
2024-12-24,111535171.49104045,8951349,9461.9725555019
2024-12-25,103693352.64502756,8961310,8866.6932918279
2024-12-26,92156537.8007336,8973575,9706.4546061284
2024-12-27,103318579.539403,8989165,9738.2634204694
2024-12-28,113605924.50696884,9009928,9687.7304570838
2024-12-29,102701840.37911399,9028680,9783.6033241437
2024-12-30,96127136.93375437,9055937,9771.8928083079
2024-12-31,115773110.88265502,9084436,9211.1377035055
2025-01-01,59939940.85274653,9094325,11030.0040556771
2025-01-02,54863551.909771964,9106212,11284.3650246128
2025-01-03,73177618.92041618,9118534,10889.1953097069
2025-01-04,87905217.65663205,9129201,10316.2186793084
2025-01-05,73671726.48323444,9138213,9345.9630906515
2025-01-06,66739458.42303961,9145192,9428.4709924129
2025-01-07,88005533.4772016,9151103,9650.7335517078
2025-01-08,89911719.36832857,9159273,9740.0930559778
2025-01-09,84433130.06100832,9167228,9800.8020720737
2025-01-10,98009999.24973948,9174963,9473.4468406808
2025-01-11,86266302.57728377,9182099,9809.2500609407
2025-01-12,80606608.40569642,9190258,9395.1257328293
2025-01-13,71851481.43105245,9197100,8662.2179295533
2025-01-14,69557144.43858467,9202629,9626.4798112374
2025-01-15,90258626.80121607,9211254,9332.6291226349
2025-01-16,77690718.95922425,9219576,9626.0282142778
2025-01-17,75045689.53108718,9232131,9150.1662909054
2025-01-18,79315312.0389024,9239987,9531.8782985459
2025-01-19,73059347.86785679,9250117,9227.5548909571
2025-01-20,65406426.565212145,9259233,8869.8374925937
